천년의 금서	4.0
광장/구운몽	0.5
정글만리	3.0
고래	3.0
하악하악	4.0
도가니	2.0
채식주의자	3.5
살인자의 기억법	2.5
안나 카레니나	3.0
아홉살 인생	4.0
누가 내 치즈를 옮겼을까?	3.0
어메이징 스파이더맨	2.5
우선순위 영단어	3.0
80일간의 세계일주	2.0
위대한 개츠비	2.5
드림 레시피	3.5
커피우유와 소보로빵	3.0
감자	2.5
오체 불만족	3.0
신	2.0
의천도룡기	4.0
배트맨 : 다크 나이트 리턴즈	3.5
완득이	2.5
벽으로 드나드는 남자	3.0
오세암	2.5
멈추면, 비로소 보이는 것들	1.5
아낌없이 주는 나무 외	4.5
당신, 거기 있어 줄래요?	2.5
위저드 베이커리	2.0
데일 카네기 자기관리론	3.0
이지성의 꿈꾸는 다락방	3.5
꿈꾸는 다락방	3.5
진주 귀고리 소녀	2.5
셜록 홈즈 전집 1 : 공포의 계곡	3.5
달빛 조각사	1.5
머니볼	3.5
아Q정전	3.5
애거서 크리스티 전집 (완전판)	2.5
냉정과 열정사이 Blu	2.0
멈추면, 비로소 보이는 것들	3.0
향수	3.0
연인	2.0
등대지기	1.0
토지 	0.5
파페포포 메모리즈	5.0
1cm+ 일 센티 플러스	1.0
원피스 ONE PIECE	4.0
윤성우의 열혈 C 프로그래밍	2.5
1984	2.5
김미경의 드림 온(Dream On)	2.5
미생	3.5
당신은 겉보기에 노력하고 있을 뿐	3.0
곰돌이 푸, 행복한 일은 매일 있어	3.5
해리 포터와 아즈카반의 죄수	5.0
파페포포 레인보우	5.0
정의란 무엇인가	4.0
다이어터 3 : 건강지속 편	4.0
운수좋은 날	4.0
덕혜옹주	3.0
좋아하면 울리는 1	4.5
Me Before You	4.0
우리들의 행복한 시간	3.0
난장이가 쏘아올린 작은 공	0.5
대학일기	5.0
봄.봄 「김유정」	3.0
셰익스피어 4대 비극	2.0
가시고기	3.0
성공하는 사람들의 7가지 습관	4.5
우동 한 그릇	3.5
다이어터 1 : 식이조절 편	5.0
엄마를 부탁해	3.0
파페포포 안단테	5.0
아낌없이 주는 나무	4.0
해리 포터와 불사조 기사단	5.0
어린 왕자	4.0
나의 라임 오렌지나무	3.5
인생 수업	3.5
리딩으로 리드하라	3.5
규장각 각신들의 나날	3.0
연어	3.5
늑대의 유혹	2.0
80일간의 세계 일주	2.5
해리 포터와 마법사의 돌	5.0
어린 왕자	4.0
반지의 제왕	4.0
이클립스	2.5
원미동 사람들	2.5
치즈 인 더 트랩	4.0
메밀꽃 필 무렵	3.0
해리 포터와 혼혈왕자	5.0
걸리버 여행기	3.0
덕혜옹주	2.0
나니아 연대기	4.0
아프니까 청춘이다	3.0
탈무드	4.0
해리 포터와 죽음의 성물	5.0
너에게 닿기를	4.0
먼나라 이웃나라	3.0
군주론	1.5
은밀하게 위대하게	3.5
봉순이 언니	3.0
내 심장을 쏴라	3.5
블리치	2.5
해리 포터와 저주받은 아이 (스페셜 리허설 에디션 대본)	4.5
칼의 노래	4.0
다이어터 2 : 운동적응기 편	4.0
꾸뻬 씨의 행복 여행	3.0
지적 대화를 위한 넓고 얕은 지식 : 현실 세계 편	1.5
죽은 왕녀를 위한 파반느	3.0
너의 이름은.	2.5
