법 앞에서	4.0
시골의사	5.0
베니스의 상인	4.0
호밀밭의 파수꾼	4.5
대지	4.5
이성과 감성	5.0
참을 수 없는 존재의 가벼움	4.0
목걸이	4.0
졸업	4.5
고도를 기다리며	3.5
수레바퀴 아래서	4.5
먹고 기도하고 사랑하라	3.0
너새니얼 호손 단편선	4.5
오이대왕	4.0
이방인	5.0
나미야 잡화점의 기적	3.0
하치 이야기	4.5
위대한 개츠비	5.0
파리의 심리학 카페	4.0
백년의 고독	5.0
이중섭 1916-1956 편지와 그림들	4.5
엠마	4.0
부활	4.5
좁은 문	3.5
로빈슨 크루소	4.0
바람과 함께 사라지다	5.0
나목	4.0
뿌리	4.0
모파상 단편선	4.0
마담 보바리	4.0
여행의 기술	3.5
은하수를 여행하는 히치하이커를 위한 안내서	4.0
사진의 이해	4.0
루머의 루머의 루머	4.0
적과 흑	5.0
분노의 포도	5.0
꼬마 니콜라의 빨간 풍선	4.0
주홍 글자	4.5
변신	5.0
무기여 잘 있어라	4.0
벨아미	4.0
한여름 밤의 꿈	5.0
뻐꾸기 둥지 위로 날아간 새	5.0
인형의 집	4.0
프랑켄슈타인	5.0
댈러웨이 부인	5.0
데미안	5.0
앵무새 죽이기	5.0
레미제라블	4.5
소송	4.5
노트르담 드 파리	5.0
비밀의 화원	4.0
톰 아저씨의 오두막	4.0
젊은 베르테르의 슬픔	4.0
전락	4.0
80일간의 세계 일주	3.5
실버라이닝 플레이북	4.0
독일인의 사랑	4.0
낭만적 연애와 그 후의 일상	3.5
브리짓 존스의 일기	4.0
향수	4.0
세 갈래 길	4.0
빈에서는 인생이 아름다워진다	3.5
죽은 시인의 사회	4.0
월든	4.0
어린 왕자	4.5
빨간 머리 앤	4.0
앨저넌에게 꽃을	4.0
우동 한 그릇	3.0
바람의 딸 걸어서 지구 세바퀴 반	1.0
정의란 무엇인가	3.5
무진기행	1.5
악마는 프라다를 입는다	2.5
캉디드 혹은 낙관주의	4.5
세상의 끝에 내가 있다	5.0
노르웨이의 숲	1.0
1984	4.5
레밍 딜레마	4.0
마키아벨리	4.0
영혼을 위한 닭고기 수프	4.0
오리엔트 특급 살인	4.5
셰이프 오브 워터	4.0
죽은 시인의 사회	4.0
5초의 법칙	4.5
파리 대왕	4.0
멋진 신세계	4.0
제인 에어	4.0
그리고 아무도 없었다	4.0
신경 끄기의 기술	4.5
기획자의 습관	4.0
천 개의 찬란한 태양	4.5
